,[3. 3. 3. 3. 3. 2.],[4. 3. 3. 3. 2. 2.],[4. 3. 3. 3. 3. 1.],[4. 4. 3. 2. 2. 2.],[4. 4. 3. 3. 2. 1.],[4. 4. 3. 3. 3. 0.],[4. 4. 4. 2. 2. 1.],[4. 4. 4. 3. 1. 1.],[4. 4. 4. 3. 2. 0.],[4. 4. 4. 4. 1. 0.],[5. 3. 3. 2. 2. 2.],[5. 3. 3. 3. 2. 1.],[5. 3. 3. 3. 3. 0.],[5. 4. 2. 2. 2. 2.],[5. 4. 3. 2. 2. 1.],[5. 4. 3. 3. 1. 1.],[5. 4. 3. 3. 2. 0.],[5. 4. 4. 2. 1. 1.],[5. 4. 4. 2. 2. 0.],[5. 4. 4. 3. 1. 0.],[5. 4. 4. 4. 0. 0.],[5. 5. 2. 2. 2. 1.],[5. 5. 3. 2. 1. 1.],[5. 5. 3. 2. 2. 0.],[5. 5. 3. 3. 1. 0.],[5. 5. 4. 1. 1. 1.],[5. 5. 4. 2. 1. 0.],[5. 5. 4. 3. 0. 0.],[5. 5. 5. 1. 1. 0.],[5. 5. 5. 2. 0. 0.],[6. 3. 2. 2. 2. 2.],[6. 3. 3. 2. 2. 1.],[6. 3. 3. 3. 1. 1.],[6. 3. 3. 3. 2. 0.],[6. 4. 2. 2. 2. 1.],[6. 4. 3. 2. 1. 1.],[6. 4. 3. 2. 2. 0.],[6. 4. 3. 3. 1. 0.],[6. 4. 4. 1. 1. 1.],[6. 4. 4. 2. 1. 0.],[6. 4. 4. 3. 0. 0.],[6. 5. 2. 2. 1. 1.],[6. 5. 2. 2. 2. 0.],[6. 5. 3. 1. 1. 1.],[6. 5. 3. 2. 1. 0.],[6. 5. 3. 3. 0. 0.],[6. 5. 4. 1. 1. 0.],[6. 5. 4. 2. 0. 0.],[6. 5. 5. 1. 0. 0.],[6. 6. 2. 1. 1. 1.],[6. 6. 2. 2. 1. 0.],[6. 6. 3. 1. 1. 0.],[6. 6. 3. 2. 0. 0.],[6. 6. 4. 1. 0. 0.],[6. 6. 5. 0. 0. 0.],[7. 2. 2. 2. 2. 2.],[7. 3. 2. 2. 2. 1.],[7. 3. 3. 2. 1. 1.],[7. 3. 3. 2. 2. 0.],[7. 3. 3. 3. 1. 0.],[7. 4. 2. 2. 1. 1.],[7. 4. 2. 2. 2. 0.],[7. 4. 3. 1. 1. 1.],[7. 4. 3. 2. 1. 0.],[7. 4. 3. 3. 0. 0.],[7. 4. 4. 1. 1. 0.],[7. 4. 4. 2. 0. 0.],[7. 5. 2. 1. 1. 1.],[7. 5. 2. 2. 1. 0.],[7. 5. 3. 1. 1. 0.],[7. 5. 3. 2. 0. 0.],[7. 5. 4. 1. 0. 0.],[7. 5. 5. 0. 0. 0.],[7. 6. 1. 1. 1. 1.],[7. 6. 2. 1. 1. 0.],[7. 6. 2. 2. 0. 0.],[7. 6. 3. 1. 0. 0.],[7. 6. 4. 0. 0. 0.],[7. 7. 1. 1. 1. 0.],[7. 7. 2. 1. 0. 0.],[7. 7. 3. 0. 0. 0.],[8. 2. 2. 2. 2. 1.],[8. 3. 2. 2. 1. 1.],[8. 3. 2. 2. 2. 0.],[8. 3. 3. 1. 1. 1.],[8. 3. 3. 2. 1. 0.],[8. 3. 3. 3. 0. 0.],[8. 4. 2. 1. 1. 1.],[8. 4. 2. 2. 1. 0.],[8. 4. 3. 1. 1. 0.],[8. 4. 3. 2. 0. 0.],[8. 4. 4. 1. 0. 0.],[8. 5. 1. 1. 1. 1.],[8. 5. 2. 1. 1. 0.],[8. 5. 2. 2. 0. 0.],[8. 5. 3. 1. 0. 0.],[8. 5. 4. 0. 0. 0.],[8. 6. 1. 1. 1. 0.],[8. 6. 2. 1. 0. 0.],[8. 6. 3. 0. 0. 0.],[8. 7. 1. 1. 0. 0.],[8. 7. 2. 0. 0. 0.],[8. 8. 1. 0. 0. 0.],[9. 2. 2. 2. 1. 1.],[9. 2. 2. 2. 2. 0.],[9. 3. 2. 1. 1. 1.],[9. 3. 2. 2. 1. 0.],[9. 3. 3. 1. 1. 0.],[9. 3. 3. 2. 0. 0.],[9. 4. 1. 1. 1. 1.],[9. 4. 2. 1. 1. 0.],[9. 4. 2. 2. 0. 0.],[9. 4. 3. 1. 0. 0.],[9. 4. 4. 0. 0. 0.],[9. 5. 1. 1. 1. 0.],[9. 5. 2. 1. 0. 0.],[9. 5. 3. 0. 0. 0.],[9. 6. 1. 1. 0. 0.],[9. 6. 2. 0. 0. 0.],[9. 7. 1. 0. 0. 0.],[9. 8. 0. 0. 0. 0.],[10.  2.  2.  1.  1.  1.],[10.  2.  2.  2.  1.  0.],[10.  3.  1.  1.  1.  1.],[10.  3.  2.  1.  1.  0.],[10.  3.  2.  2.  0.  0.],[10.  3.  3.  1.  0.  0.],[10.  4.  1.  1.  1.  0.],[10.  4.  2.  1.  0.  0.],[10.  4.  3.  0.  0.  0.],[10.  5.  1.  1.  0.  0.],[10.  5.  2.  0.  0.  0.],[10.  6.  1.  0.  0.  0.],[10.  7.  0.  0.  0.  0.],[11.  2.  1.  1.  1.  1.],[11.  2.  2.  1.  1.  0.],[11.  2.  2.  2.  0.  0.],[11.  3.  1.  1.  1.  0.],[11.  3.  2.  1.  0.  0.],[11.  3.  3.  0.  0.  0.],[11.  4.  1.  1.  0.  0.],[11.  4.  2.  0.  0.  0.],[11.  5.  1.  0.  0.  0.],[11.  6.  0.  0.  0.  0.],[12.  1.  1.  1.  1.  1.],[12.  2.  1.  1.  1.  0.],[12.  2.  2.  1.  0.  0.],[12.  3.  1.  1.  0.  0.],[12.  3.  2.  0.  0.  0.],[12.  4.  1.  0.  0.  0.],[12.  5.  0.  0.  0.  0.],[13.  1.  1.  1.  1.  0.],[13.  2.  1.  1.  0.  0.],[13.  2.  2.  0.  0.  0.],[13.  3.  1.  0.  0.  0.],[13.  4.  0.  0.  0.  0.],[14.  1.  1.  1.  0.  0.],[14.  2.  1.  0.  0.  0.],[14.  3.  0.  0.  0.  0.],[15.  1.  1.  0.  0.  0.],[15.  2.  0.  0.  0.  0.],[16.  1.  0.  0.  0.  0.],[17.  0.  0.  0.  0.  0.]
[5. 3. 3. 2. 2. 2.],-1.0,-0.5333333333333333,-0.7,-0.11666666666666667,-0.31666666666666665,-0.85,0.0,-0.13333333333333333,-0.5333333333333333,-0.3333333333333333,0.0,-0.25,-0.8,0.4,0.11666666666666667,-0.08333333333333333,-0.4666666666666667,0.2,-0.15,-0.3,-0.5,0.6833333333333333,0.4,-0.0,-0.23333333333333334,0.5,0.1,-0.4666666666666667,0.5,-0.0,0.5666666666666667,0.23333333333333334,-0.0,-0.35,0.5833333333333334,0.3,-0.03333333333333333,-0.2,0.3333333333333333,0.03333333333333333,-0.36666666666666664,0.85,0.5666666666666667,0.6,0.25,-0.35,0.3333333333333333,-0.06666666666666667,0.3333333333333333,1.0,0.8,0.5,0.1,0.16666666666666666,0.16666666666666666,1.0,0.8166666666666667,0.55,0.23333333333333334,-0.0,0.85,0.5833333333333334,0.6,0.3,-0.2,0.3333333333333333,0.03333333333333333,1.0,0.85,0.6,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,0.8,0.5,0.16666666666666666,1.0,1.0,0.5,1.0,0.95,0.8166666666666667,0.8,0.55,-0.0,1.0,0.85,0.6,0.3,0.3333333333333333,1.0,1.0,0.85,0.6,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.8,0.55,1.0,1.0,0.85,0.6,0.3333333333333333,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.8,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[5. 3. 3. 3. 2. 1.],-0.3333333333333333,-0.11666666666666667,-0.4,0.0,-0.21666666666666667,-0.5833333333333334,-0.1,-0.3,-0.375,-0.4666666666666667,0.25,0.0,-0.4,0.3,0.10833333333333334,-0.11666666666666667,-0.21666666666666667,-0.016666666666666666,-0.1,-0.325,-0.5,0.45,0.26666666666666666,0.13333333333333333,-0.11666666666666667,0.1,-0.0,-0.36666666666666664,0.16666666666666666,0.06666666666666667,0.5666666666666667,0.35,0.11666666666666667,-0.0,0.375,0.2,0.1,-0.11666666666666667,0.03333333333333333,-0.03333333333333333,-0.3,0.5666666666666667,0.4,0.4083333333333333,0.25,-0.11666666666666667,0.06666666666666667,-0.0,0.16666666666666666,0.7333333333333333,0.5333333333333333,0.4,0.26666666666666666,0.03333333333333333,0.16666666666666666,1.0,0.75,0.5833333333333334,0.43333333333333335,0.23333333333333334,0.5833333333333334,0.45,0.43333333333333335,0.30833333333333335,-0.0,0.13333333333333333,0.06666666666666667,0.7916666666666666,0.6166666666666667,0.5166666666666667,0.375,0.2,0.3333333333333333,1.0,0.7666666666666667,0.6,0.5333333333333333,0.16666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8833333333333333,0.75,0.7833333333333333,0.65,0.35,0.7916666666666666,0.6333333333333333,0.5333333333333333,0.4166666666666667,0.23333333333333334,1.0,0.8166666666666667,0.6666666666666666,0.625,0.3333333333333333,1.0,0.8,0.6666666666666666,1.0,0.8333333333333334,1.0,1.0,1.0,0.9666666666666667,0.8833333333333333,0.8333333333333334,0.7166666666666667,1.0,0.8166666666666667,0.6833333333333333,0.6333333333333333,0.3333333333333333,1.0,0.8416666666666667,0.7333333333333333,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.8833333333333333,0.8833333333333333,1.0,0.8416666666666667,0.7333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[5. 3. 3. 3. 3. 0.],0.6666666666666666,0.4666666666666667,0.0,0.4,0.0,-0.4,0.0,-0.4,-0.3,-0.6,0.8,0.4,0.0,0.6,0.3,-0.13333333333333333,-0.0,-0.1,-0.0,-0.43333333333333335,-0.7,0.6,0.2,0.36666666666666664,-0.13333333333333333,-0.2,-0.1,-0.5333333333333333,-0.2,-0.1,1.0,0.7,0.23333333333333334,0.4,0.4666666666666667,0.16666666666666666,0.3,-0.13333333333333333,-0.16666666666666666,-0.1,-0.43333333333333335,0.4666666666666667,0.6,0.06666666666666667,0.23333333333333334,-0.16666666666666666,-0.2,-0.13333333333333333,-0.23333333333333334,0.3333333333333333,0.5,0.1,0.26666666666666666,-0.26666666666666666,-0.3333333333333333,1.0,1.0,0.7,0.8,0.4,0.4666666666666667,0.6,0.16666666666666666,0.3,-0.03333333333333333,-0.1,-0.03333333333333333,0.4666666666666667,0.6,0.23333333333333334,0.4,-0.13333333333333333,-0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.26666666666666666,-0.23333333333333334,0.5,0.6666666666666666,0.43333333333333335,1.0,1.0,1.0,0.7,0.8,0.5666666666666667,0.4666666666666667,0.6,0.3,0.43333333333333335,-0.03333333333333333,0.4666666666666667,0.6,0.7333333333333333,0.4,-0.06666666666666667,0.5,0.6666666666666666,0.43333333333333335,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.8,0.9,0.4666666666666667,0.6,0.7333333333333333,0.43333333333333335,0.03333333333333333,0.6,0.7333333333333333,0.5666666666666667,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.6,0.7333333333333333,0.5666666666666667,0.7333333333333333,0.8666666666666667,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.8666666666666667,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[5. 4. 2. 2. 2. 2.],-1.0,-0.7,-0.4666666666666667,-0.3333333333333333,-0.2,-0.6,0.16666666666666666,0.13333333333333333,-0.3333333333333333,0.06666666666666667,-0.4,-0.3,-0.6,0.0,-0.0,-0.0,-0.43333333333333335,0.36666666666666664,-0.13333333333333333,-0.1,-0.2,0.3333333333333333,0.2,-0.26666666666666666,-0.2,0.6,0.13333333333333333,-0.3333333333333333,0.5,-0.16666666666666666,-0.0,-0.0,-0.0,-0.4,0.4,0.3,-0.13333333333333333,-0.1,0.6,0.2,-0.2,0.7,0.16666666666666666,0.4666666666666667,0.06666666666666667,-0.26666666666666666,0.4666666666666667,-0.03333333333333333,0.3333333333333333,1.0,0.6,0.3333333333333333,-0.06666666666666667,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.4666666666666667,0.4,-0.0,-0.0,0.8,0.4,0.6,0.3,-0.1,0.6,0.2,1.0,0.7,0.4666666666666667,0.06666666666666667,0.4666666666666667,0.3333333333333333,1.0,1.0,0.6,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.9333333333333333,0.8,0.4666666666666667,0.6,0.4,-0.0,1.0,0.8,0.6,0.3,0.6,1.0,1.0,0.7,0.4666666666666667,0.4666666666666667,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.8,0.6,0.4,1.0,1.0,0.8,0.6,0.6,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[5. 4. 3. 2. 2. 1.],-0.5,-0.26666666666666666,-0.23333333333333334,-0.11666666666666667,-0.1111111111111111,-0.3,0.0,0.016666666666666666,-0.2,-0.06666666666666667,-0.11666666666666667,-0.10833333333333334,-0.3,0.0,0.0,-0.0,-0.20277777777777778,0.1111111111111111,-0.10555555555555556,-0.10277777777777777,-0.2,0.11666666666666667,0.1111111111111111,-0.10555555555555556,-0.1111111111111111,0.25,-0.0,-0.21666666666666667,0.16666666666666666,-0.1,0.1,0.10555555555555556,0.1,-0.1,0.21666666666666667,0.20277777777777778,-0.0,-0.005555555555555556,0.3,0.08888888888888889,-0.1,0.3611111111111111,0.11666666666666667,0.325,0.10277777777777777,-0.1,0.21666666666666667,-0.0,0.16666666666666666,0.6333333333333333,0.35,0.3,0.1,0.2,0.16666666666666666,0.5,0.45,0.40555555555555556,0.2111111111111111,0.2,0.5333333333333333,0.31666666666666665,0.5,0.2972222222222222,0.1,0.4,0.2,0.7166666666666667,0.45555555555555555,0.4166666666666667,0.21666666666666667,0.3416666666666667,0.3333333333333333,1.0,0.7,0.4666666666666667,0.4,0.3333333333333333,1.0,0.7666666666666667,0.5,0.8,0.7055555555555556,0.5166666666666667,0.65,0.4777777777777778,0.3,0.8,0.6,0.5666666666666667,0.39166666666666666,0.5,1.0,0.7666666666666667,0.55,0.5083333333333333,0.4666666666666667,1.0,0.7666666666666667,0.5,1.0,0.8333333333333334,1.0,0.95,0.8,0.8833333333333333,0.7444444444444445,0.7,0.55,1.0,0.8333333333333334,0.6666666666666666,0.6333333333333333,0.6,1.0,0.8166666666666667,0.6,1.0,0.8333333333333334,1.0,1.0,1.0,0.95,1.0,0.9,0.7833333333333333,0.75,1.0,0.8666666666666667,0.7,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,0.95,1.0,0.9166666666666666,0.8,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[5. 4. 3. 3. 1. 1.],0.3333333333333333,0.11666666666666667,0.16666666666666666,0.0,0.0,0.03333333333333333,-0.1,-0.11666666666666667,-0.1,-0.2,0.08333333333333333,0.11666666666666667,0.13333333333333333,0.0,0.0,0.0,-0.0,-0.10555555555555556,-0.08333333333333333,-0.1111111111111111,-0.2,-0.0,-0.0,-0.0,-0.0,-0.15,-0.08888888888888889,-0.1,-0.15,-0.03333333333333333,0.13333333333333333,0.18888888888888888,0.23333333333333334,0.2,0.1,0.10555555555555556,0.08333333333333333,0.10555555555555556,-0.03333333333333333,-0.0,-0.0,0.11666666666666667,0.1,0.11666666666666667,0.1111111111111111,0.11666666666666667,-0.03333333333333333,0.03333333333333333,-0.0,0.26666666666666666,0.2,0.23333333333333334,0.2,0.06666666666666667,0.16666666666666666,0.3333333333333333,0.4,0.4444444444444444,0.36666666666666664,0.43333333333333335,0.31666666666666665,0.25,0.35,0.29444444444444445,0.31666666666666665,0.18888888888888888,0.2,0.38333333333333336,0.3,0.3611111111111111,0.3,0.21666666666666667,0.3333333333333333,0.6,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.8,0.6,0.6666666666666666,0.6,0.6333333333333333,0.5,0.7,0.5777777777777777,0.6,0.55,0.45,0.5333333333333333,0.45,0.4,0.7,0.55,0.43333333333333335,0.5666666666666667,0.4666666666666667,0.8,0.6,0.6666666666666666,0.9333333333333333,0.6666666666666666,1.0,0.8,0.6,0.8333333333333334,0.7,0.7888888888888889,0.7,0.8,0.6666666666666666,0.55,0.6833333333333333,0.6,0.85,0.6666666666666666,0.7333333333333333,0.9333333333333333,0.6666666666666666,1.0,1.0,0.9333333333333333,0.8,1.0,0.8666666666666667,0.7666666666666667,0.8666666666666667,0.9,0.75,0.8,0.95,0.7333333333333333,1.0,1.0,1.0,0.9333333333333333,0.8,1.0,0.9,0.9333333333333333,0.9666666666666667,0.8,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[5. 4. 3. 3. 2. 0.],0.5,0.38333333333333336,0.1,0.3333333333333333,0.10555555555555556,-0.11666666666666667,0.1,-0.1,-0.10833333333333334,-0.3,0.4666666666666667,0.21666666666666667,0.0,0.43333333333333335,0.20277777777777778,0.0,0.0,-0.005555555555555556,-0.0,-0.20277777777777778,-0.45,0.3,0.08888888888888889,0.1111111111111111,-0.10555555555555556,-0.1,-0.10277777777777777,-0.35555555555555557,-0.2,-0.25,0.6666666666666666,0.40555555555555556,0.2,0.21666666666666667,0.375,0.17777777777777778,0.20277777777777778,-0.0,-0.0,-0.005555555555555556,-0.2222222222222222,0.26666666666666666,0.325,0.08333333333333333,0.10277777777777777,-0.11666666666666667,-0.09166666666666666,-0.125,-0.23333333333333334,0.23333333333333334,0.3,0.1,0.1,-0.13333333333333333,-0.3333333333333333,1.0,0.7166666666666667,0.49444444444444446,0.5333333333333333,0.31666666666666665,0.45,0.5,0.275,0.2972222222222222,0.10555555555555556,0.1,0.08888888888888889,0.36666666666666664,0.4166666666666667,0.21666666666666667,0.22777777777777777,-0.0,-0.16666666666666666,0.3333333333333333,0.4,0.4666666666666667,0.23333333333333334,-0.06666666666666667,0.5,0.5666666666666667,0.36666666666666664,1.0,0.7666666666666667,0.8,0.5833333333333334,0.6,0.43333333333333335,0.525,0.5666666666666667,0.39166666666666666,0.4166666666666667,0.2,0.4666666666666667,0.5083333333333333,0.5666666666666667,0.35,0.09166666666666666,0.5,0.5666666666666667,0.36666666666666664,0.6666666666666666,0.7333333333333333,0.8333333333333334,1.0,1.0,0.8166666666666667,0.8333333333333334,0.6666666666666666,0.7055555555555556,0.6,0.6333333333333333,0.6833333333333333,0.5083333333333333,0.3,0.6,0.65,0.48333333333333334,0.6666666666666666,0.7333333333333333,0.8333333333333334,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,0.9,0.75,0.7,0.7416666666666667,0.625,0.7333333333333333,0.7916666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,0.9,0.9166666666666666,0.8333333333333334,0.8,0.85,0.8666666666666667,1.0,1.0,1.0,1.0,0.9333333333333333,0.9666666666666667,0.9,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[5. 4. 4. 2. 1. 1.],0.16666666666666666,0.0,0.23333333333333334,-0.15,0.11666666666666667,0.2,0.0,0.23333333333333334,0.11666666666666667,0.26666666666666666,-0.2,0.016666666666666666,0.1,-0.36666666666666664,-0.1111111111111111,0.10555555555555556,0.005555555555555556,0.0,-0.10555555555555556,0.10555555555555556,0.15,-0.3333333333333333,-0.10555555555555556,-0.18333333333333332,-0.0,-0.0,-0.1111111111111111,-0.0,-0.15,-0.2,-0.23333333333333334,-0.0,0.2,0.1,-0.13333333333333333,0.10555555555555556,-0.0,0.18333333333333332,0.23333333333333334,0.10555555555555556,0.2,-0.11666666666666667,-0.2,0.11666666666666667,0.005555555555555556,0.1,0.11666666666666667,0.016666666666666666,-0.0,0.11666666666666667,-0.0,0.2,0.1,0.23333333333333334,0.16666666666666666,-0.16666666666666666,0.1,0.31666666666666665,0.2,0.35,0.2222222222222222,0.1,0.43333333333333335,0.29444444444444445,0.35,0.4444444444444444,0.31666666666666665,0.25,0.1111111111111111,0.3055555555555556,0.2,0.36666666666666664,0.3333333333333333,0.6,0.35,0.2,0.36666666666666664,0.5,0.8,0.5333333333333333,0.5,0.2,0.43333333333333335,0.3,0.6,0.45,0.45,0.5833333333333334,0.40555555555555556,0.5777777777777777,0.45,0.6333333333333333,0.7,0.45555555555555555,0.3,0.4666666666666667,0.6,0.8,0.5333333333333333,0.5,0.9333333333333333,0.6666666666666666,1.0,0.55,0.4,0.7166666666666667,0.55,0.7,0.55,0.9,0.7055555555555556,0.55,0.7,0.8,0.85,0.6166666666666667,0.6,0.9333333333333333,0.6666666666666666,1.0,1.0,0.8333333333333334,0.65,0.9,0.7833333333333333,0.65,0.7666666666666667,0.95,0.8,0.8,0.95,0.7333333333333333,1.0,1.0,1.0,0.8666666666666667,0.75,0.95,0.8333333333333334,0.8,0.9833333333333333,0.8666666666666667,1.0,1.0,1.0,1.0,0.9,0.9833333333333333,0.8666666666666667,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[5. 4. 4. 2. 2. 0.],0.3333333333333333,0.3,0.13333333333333333,0.3,0.18888888888888888,0.08333333333333333,0.23333333333333334,0.2,0.11666666666666667,0.13333333333333333,0.15,0.1,0.0,0.13333333333333333,0.10555555555555556,0.08333333333333333,0.0,0.10555555555555556,0.0,-0.0,-0.11666666666666667,-0.03333333333333333,-0.0,-0.10555555555555556,-0.08333333333333333,-0.0,-0.1111111111111111,-0.2222222222222222,-0.2,-0.4,0.23333333333333334,0.2,0.15,0.1,0.2,0.18333333333333332,0.10555555555555556,0.08333333333333333,0.2,0.10555555555555556,-0.011111111111111112,0.06111111111111111,-0.016666666666666666,0.1,0.005555555555555556,-0.1,0.016666666666666666,-0.13333333333333333,-0.23333333333333334,0.13333333333333333,0.08333333333333333,0.1,-0.0,-0.0,-0.3333333333333333,0.5,0.43333333333333335,0.35,0.31666666666666665,0.25,0.40555555555555556,0.35,0.35,0.29444444444444445,0.18333333333333332,0.31666666666666665,0.2222222222222222,0.26666666666666666,0.2111111111111111,0.2,0.1111111111111111,0.13333333333333333,-0.16666666666666666,0.3333333333333333,0.3,0.23333333333333334,0.2,0.1,0.5,0.4666666666666667,0.3,0.7,0.5833333333333334,0.55,0.45,0.45,0.35,0.5833333333333334,0.5333333333333333,0.45,0.40555555555555556,0.43333333333333335,0.4666666666666667,0.4166666666666667,0.3611111111111111,0.3,0.25,0.5,0.4666666666666667,0.3,0.6666666666666666,0.6333333333333333,0.8333333333333334,0.85,0.8,0.6833333333333333,0.6666666666666666,0.55,0.55,0.7333333333333333,0.6833333333333333,0.6611111111111111,0.55,0.55,0.6,0.5666666666666667,0.4,0.6666666666666666,0.6333333333333333,0.8333333333333334,1.0,0.95,0.9,0.7333333333333333,0.75,0.75,0.65,0.8,0.7833333333333333,0.65,0.7333333333333333,0.7166666666666667,0.8333333333333334,1.0,1.0,0.9666666666666667,0.95,0.8,0.8166666666666667,0.75,0.8666666666666667,0.8833333333333333,0.8666666666666667,1.0,1.0,1.0,0.9833333333333333,0.8666666666666667,0.8833333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[5. 4. 4. 3. 1. 0.],1.0,0.6333333333333333,0.6666666666666666,0.35,0.3611111111111111,0.4666666666666667,0.11666666666666667,0.11666666666666667,0.21666666666666667,0.0,0.3,0.325,0.43333333333333335,0.1,0.10277777777777777,0.1111111111111111,0.20277777777777778,-0.10555555555555556,0.0,0.0,-0.11666666666666667,-0.1,-0.1111111111111111,-0.005555555555555556,-0.0,-0.3333333333333333,-0.20277777777777778,-0.1111111111111111,-0.45,-0.3,0.23333333333333334,0.26666666666666666,0.3,0.375,0.08333333333333333,0.08888888888888889,0.17777777777777778,0.20277777777777778,-0.11666666666666667,-0.0,0.10555555555555556,-0.1,-0.0,-0.125,-0.0,0.1111111111111111,-0.2222222222222222,-0.08888888888888889,-0.36666666666666664,-0.13333333333333333,-0.0,-0.016666666666666666,0.1,-0.13333333333333333,-0.3333333333333333,0.3333333333333333,0.36666666666666664,0.4,0.45,0.5,0.2,0.275,0.2,0.2972222222222222,0.40555555555555556,0.10555555555555556,0.2111111111111111,-0.016666666666666666,0.10833333333333334,0.10277777777777777,0.20555555555555555,-0.0,-0.16666666666666666,-0.06666666666666667,0.1,0.2,0.21666666666666667,0.1,0.2,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.5,0.525,0.5333333333333333,0.5666666666666667,0.65,0.31666666666666665,0.39166666666666666,0.4166666666666667,0.4777777777777778,0.3277777777777778,0.06666666666666667,0.21666666666666667,0.3,0.33055555555555555,0.25,0.2,0.3333333333333333,0.4666666666666667,0.4666666666666667,0.5666666666666667,0.7333333333333333,0.6,0.6,0.6333333333333333,0.6333333333333333,0.6833333333333333,0.7,0.43333333333333335,0.5083333333333333,0.55,0.6055555555555555,0.55,0.325,0.43333333333333335,0.5583333333333333,0.4666666666666667,0.5666666666666667,0.7333333333333333,1.0,0.7333333333333333,0.7,0.7666666666666667,0.7416666666666667,0.75,0.8,0.625,0.6666666666666666,0.7666666666666667,0.5666666666666667,0.6333333333333333,0.7333333333333333,1.0,0.8666666666666667,0.8,0.8,0.85,0.8333333333333334,0.8833333333333333,0.7833333333333333,0.7916666666666666,0.7916666666666666,1.0,1.0,0.9,0.8666666666666667,0.9166666666666666,0.9083333333333333,0.9083333333333333,1.0,1.0,0.9333333333333333,0.9333333333333333,0.9666666666666667,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0
